
"Hungary","44.8","","","","","","44.8","44.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iceland","49.4","","","","","","","","49.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"India","62.5","","","","","","","","","","","","62.5","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Indonesia 1960-1962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iran (Islamic Republic of)","51.5","","","","","51.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Ireland","42.4","","","","","","","","","","","42.4","42.4","42.4","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","52.6","","","","","52.6","57.1","54.1","54.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jamaica","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","68.9","","","","","","","","","","","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","68.9","","","","","","","","","","","","","","",""
"Jordan","43.0","","","","","","43.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jordan 1960-1966","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kazakhstan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kiribati","18.0","","","","18.0","18.0","18.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kuwait","33.3","","","","","","","","","","33.3","33.3","33.3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Kyrgyzstan","61.2","","","","","","","","","","","","","","","","","61.2","","","","","","","","","","","","","","","","","","","",""
"Lao People's Democratic Republic","77.1","","","","","","","","","","","","","","","","77.1","","","","","","","","","","","","","","","","","","","","",""
"Latvia","51.3","","","","51.3","","52.7","","56.5","","54.7","","53.8","47.7","","","","","","","","","","","","","","","","","","","","","","","",""
"Lithuania","48.6","","","","","","48.6","","","","","","","45.8","","","","","","","","","","","","","","","","","","","","","","","",""
"Macao","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Madagascar","69.1","","","","","69.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malawi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia","49.3","","","","","","","49.3","49.3","","","","","","60.8","","","","","","","","","","","","","","","","","","","","","","",""
"Malaysia 1963-1964","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","35.1","","","35.1","35.1","","","37.7","39.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Marshall Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mayotte","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Micronesia (Federated States of)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Moldova, Republic of","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mongolia","66.6","","","","","","66.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Montserrat","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Morocco","59.4","","","","","","","","","","","59.4","59.4","","","","","","","","","","","","","","","","","","","","","","","","",""
"New Zealand","36.1","","","36.1","36.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nigeria 1960-1961","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niue","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"North Borneo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Northern Mariana Islands","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Norway","51.0","51.0","51.0","","","53.0","","","40.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Occupied Palestinian Territory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pakistan","54.4","","","","","","","","","","","","","","","","54.4","54.4","54.4","54.4","54.4","","","","","","","","","","","","","","","","",""
"Palau","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
